,DOY,WS,WD,AT,n
0,1,9.34,252,-3.36,720
1,2,7.25,249,-0.98,721
2,3,9.87,302,-1.02,704
3,4,9.3,344,-1.41,720
4,5,7.9,176,-1.97,720
5,6,7.76,195,0.37,720
6,7,6.07,166,3.4,720
7,8,5.28,149,4.83,720
8,9,5.19,283,4.6,720
9,10,11.68,307,-5.78,720
10,11,8.34,244,-13.11,720
11,12,11.83,268,-8.57,720
12,13,8.3,240,-11.93,720
13,14,8.31,213,1.91,720
14,15,10.26,217,5.66,720
15,16,8.28,300,-0.91,720
16,17,9.65,286,-12.42,720
17,18,9.82,277,-16.21,720
18,19,5.6,256,-13.07,720
19,20,3.44,223,-7.19,720
20,21,3.18,244,-5.1,720
21,22,6.77,29,-1.91,720
22,23,6.24,50,-0.11,720
23,24,6.11,210,-1.19,720
24,25,6.3,174,1.21,720
25,26,11.24,252,1.44,720
26,27,7.69,254,-1.63,720
27,28,11.61,247,2.14,720
28,29,6.99,345,-1.6,720
29,30,8.27,206,4.33,720
30,31,6.8,205,7.06,720
31,32,5.26,275,2.82,700
32,33,6.49,82,2.35,720
33,34,8.36,233,3.33,720
34,35,6.76,268,-1.98,720
35,36,5.76,266,-0.83,720
36,37,5.38,229,0.54,720
37,38,8.65,211,4.9,720
38,39,7.96,268,1.08,720
39,40,8.49,305,-6.2,720
40,41,8.73,308,-9.14,720
41,42,5.53,325,-9.28,720
42,43,8.23,276,-5.89,720
43,44,8.71,314,-11.49,720
44,45,7.47,160,-8.51,720
45,46,6.39,194,-4.99,720
46,47,2.21,353,-1.76,720
47,48,6.4,325,-1.23,720
48,49,6.7,128,-0.51,720
49,50,16.12,197,8.93,720
50,51,10.92,252,11.48,720
51,52,6.25,346,4.07,720
52,53,3.03,15,1.43,720
53,54,3.43,51,1.53,720
54,55,13.34,19,2.02,720
55,56,13.21,340,0.93,720
56,57,7.41,308,0.29,713
57,58,8.71,221,3.73,720
58,59,14.69,210,8.91,424
59,60,10.14,282,5.01,720
60,61,10.94,32,-1.29,720
61,62,6.82,292,-4.71,720
62,63,5.86,108,-0.62,720
63,64,6.23,17,-0.14,720
64,65,7.12,230,1.24,720
