Date,US unemployment rate
1/31/80,6.3
2/29/80,6.3
3/31/80,6.3
4/30/80,6.9
5/30/80,7.5
6/30/80,7.6
7/31/80,7.8
8/29/80,7.7
9/30/80,7.5
10/31/80,7.5
11/28/80,7.5
12/31/80,7.2
1/30/81,7.5
2/27/81,7.4
3/31/81,7.4
4/30/81,7.2
5/29/81,7.5
6/30/81,7.5
7/31/81,7.2
8/31/81,7.4
9/30/81,7.6
10/30/81,7.9
11/30/81,8.3
12/31/81,8.5
1/29/82,8.6
2/26/82,8.9
3/31/82,9
4/30/82,9.3
5/31/82,9.4
6/30/82,9.6
7/30/82,9.8
8/31/82,9.8
9/30/82,10.1
10/29/82,10.4
11/30/82,10.8
12/31/82,10.8
1/31/83,10.4
2/28/83,10.4
3/31/83,10.3
4/29/83,10.2
5/31/83,10.1
6/30/83,10.1
7/29/83,9.4
8/31/83,9.5
9/30/83,9.2
10/31/83,8.8
11/30/83,8.5
12/30/83,8.3
1/31/84,8
2/29/84,7.8
3/30/84,7.8
4/30/84,7.7
5/31/84,7.4
6/29/84,7.2
7/31/84,7.5
8/31/84,7.5
9/28/84,7.3
10/31/84,7.4
11/30/84,7.2
12/31/84,7.3
1/31/85,7.3
2/28/85,7.2
3/29/85,7.2
4/30/85,7.3
5/31/85,7.2
6/28/85,7.4
7/31/85,7.4
8/30/85,7.1
9/30/85,7.1
10/31/85,7.1
11/29/85,7
12/31/85,7
1/31/86,6.7
2/28/86,7.2
3/31/86,7.2
4/30/86,7.1
5/30/86,7.2
6/30/86,7.2
7/31/86,7
8/29/86,6.9
9/30/86,7
10/31/86,7
11/28/86,6.9
12/31/86,6.6
1/30/87,6.6
2/27/87,6.6
3/31/87,6.6
4/30/87,6.3
5/29/87,6.3
6/30/87,6.2
7/31/87,6.1
8/31/87,6
9/30/87,5.9
10/30/87,6
11/30/87,5.8
12/31/87,5.7
1/29/88,5.7
2/29/88,5.7
3/31/88,5.7
4/29/88,5.4
5/31/88,5.6
6/30/88,5.4
7/29/88,5.4
8/31/88,5.6
9/30/88,5.4
10/31/88,5.4
11/30/88,5.3
12/30/88,5.3
1/31/89,5.4
2/28/89,5.2
3/31/89,5
4/28/89,5.2
5/31/89,5.2
6/30/89,5.3
7/31/89,5.2
8/31/89,5.2
9/29/89,5.3
10/31/89,5.3
11/30/89,5.4
12/29/89,5.4
1/31/90,5.4
2/28/90,5.3
3/30/90,5.2
4/30/90,5.4
5/31/90,5.4
6/29/90,5.2
7/31/90,5.5
8/31/90,5.7
9/28/90,5.9
10/31/90,5.9
11/30/90,6.2
12/31/90,6.3
1/31/91,6.4
2/28/91,6.6
3/29/91,6.8
