DOY,AT
0,28.64
1,31.02
2,30.98
3,30.59
4,30.03
5,32.37
6,35.4
7,36.83
8,36.6
9,26.22
10,18.89
11,23.43
12,20.07
13,33.91
14,37.66
15,31.09
16,19.58
17,15.79
18,18.93
19,24.81
20,26.9
21,30.09
22,31.89
23,30.81
24,33.21
25,33.44
26,30.37
27,34.14
28,30.4
29,36.33
30,39.06
31,34.82
32,34.35
33,35.33
34,30.02
35,31.17
36,32.54
37,36.9
38,33.08
39,25.8
40,22.86
41,22.72
42,26.11
43,20.51
44,23.49
45,27.01
46,30.24
47,30.77
48,31.49
49,40.93
50,43.48
51,36.07
52,33.43
53,33.53
54,34.02
55,32.93
56,32.29
57,35.73
58,40.91
59,37.01
60,30.71
61,27.29
62,31.38
63,31.86
64,33.24
65,35.79
66,42.4
67,47.46
68,48.47
69,39.14
70,35.38
71,36.64
72,37.57
73,38.04
74,37.74
75,42.91
76,42.04
77,37.69
78,35.01
79,34.41
80,34.57
81,41.92
82,37.53
83,35.61
84,33.17
85,35.91
86,39.93
87,38.54
88,37.29
89,41.08
90,46.11
91,38.13
92,35.09
93,37.76
94,36.24
95,33.19
96,40.01
97,36.8
98,35.85
99,31.04
100,36.03
101,41.52
102,35.78
103,36.8
104,38.37
105,39.06
106,40.74
107,43.72
108,45.27
109,40.41
110,42.79
111,46.43
112,41.03
113,38.51
114,42.32
115,51.28
116,41.89
117,38.29
118,38.99
119,37.89
120,38.74
121,38.68
122,39.35
123,43.53
124,42.32
125,38.5
126,46.9
127,49.16
128,44.48
129,43.17
130,42.38
131,42.81
132,45.97
133,46.86
134,40.07
135,39.0
136,46.11
137,43.0
138,41.18
139,42.93
140,44.32
141,44.42
142,46.82
143,48.28
144,54.23
145,55.31
146,52.86
147,53.84
148,53.82
149,54.83
150,54.34
151,50.86
152,49.76
153,53.58
154,50.82
155,52.36
156,52.61
157,54.32
158,47.79
159,46.44
160,49.2
161,53.72
162,59.85
163,52.32
164,49.22
165,51.64
166,54.73
167,53.22
168,49.71
169,51.28
170,56.55
171,61.03
172,54.28
173,54.59
174,51.53
175,52.16
176,55.15
177,57.24
178,58.88
179,50.67
180,51.01
181,54.23
182,51.63
183,51.94
184,52.43
185,52.44
186,55.76
187,57.06
188,57.1
189,56.18
190,54.01
191,53.94
192,57.34
193,59.36
194,58.12
195,56.66
196,54.32
197,51.87
198,55.03
199,56.39
200,55.7
201,57.3
202,58.35
203,57.59
204,59.5
205,57.48
206,57.22
207,56.84
208,57.51
209,56.88
210,55.53
211,54.38
212,54.48
213,55.35
214,56.4
215,57.61
216,58.39
217,57.84
218,55.33
219,55.74
220,56.06
221,56.65
222,58.35
223,59.91
224,59.2
225,57.17
226,56.4
227,56.11
228,55.64
229,57.65
230,57.57
231,56.34
232,56.26
233,52.01
234,53.63
235,54.83
236,55.92
237,56.22
238,53.89
239,55.64
240,56.69
241,56.16
242,56.23
243,54.52
244,53.56
245,52.79
246,52.93
247,53.98
248,56.75
249,60.21
250,60.43
251,57.59
252,56.39
253,53.76
254,52.04
255,53.71
256,55.51
257,52.92
258,53.09
259,54.71
260,55.63
261,53.43
262,55.65
263,54.83
264,54.91
265,55.38
266,53.3
267,52.2
268,53.81
269,51.55
270,49.66
271,46.32
272,49.8
273,49.62
274,48.98
275,48.08
276,48.63
277,50.24
278,53.36
279,52.51
280,51.6
281,44.32
282,46.52
283,47.46
284,50.57
285,50.27
286,41.75
287,45.87
288,48.54
289,52.31
290,53.79
291,54.35
292,48.73
293,46.45
294,42.22
295,42.21
296,47.97
297,44.19
298,43.08
299,42.49
300,41.75
301,43.18
302,51.24
303,44.87
304,43.23
305,51.28
306,49.34
307,44.48
308,44.86
309,47.48
310,47.86
311,47.31
312,46.9
313,42.9
314,44.76
315,44.06
316,40.59
317,41.6
318,43.57
319,43.11
320,42.85
321,46.39
322,49.49
323,36.25
324,31.72
325,33.34
326,35.85
327,37.79
328,37.81
329,36.09
330,36.96
331,36.98
332,39.96
333,42.89
334,38.9
335,36.15
336,36.06
337,33.81
338,33.68
339,33.44
340,35.59
341,30.54
342,27.05
343,28.16
344,27.03
345,30.55
346,29.74
347,25.92
348,22.62
349,18.53
350,23.34
351,27.54
352,22.62
353,17.32
354,26.86
355,31.45
356,34.82
357,33.15
358,34.32
359,33.55
360,39.88
361,30.92
362,33.19
363,34.15
364,31.55
365,35.26
