DATE,INCOME
1984-01-01,48720
1985-01-01,49631
1986-01-01,51388
1987-01-01,52032
1988-01-01,52432
1989-01-01,53367
1990-01-01,52684
1991-01-01,51145
1992-01-01,50725
1993-01-01,50478
1994-01-01,51065
1995-01-01,52664
1996-01-01,53407
1997-01-01,54506
1998-01-01,56510
1999-01-01,57909
2000-01-01,57790
2001-01-01,56531
2002-01-01,55871
2003-01-01,55823
2004-01-01,55629
2005-01-01,56224
2006-01-01,56663
2007-01-01,57423
2008-01-01,55376
2009-01-01,54988
2010-01-01,53568
2011-01-01,52751
2012-01-01,52666
2013-01-01,54525
2014-01-01,53718
2015-01-01,56516
